----- [cpwdeMacBook-Pro.local][Darwin][14.4.0] [2015-07-29 23:07:27] [服务器初始化结束] ----
-----------加载新连接------------- 
[::ffff:127.0.0.1] [DEMO/root.html] ---------- [2015-07-29 23:07:27]  
[::ffff:127.0.0.1] [DEMO/static/css/common.css] ---------- [2015-07-29 23:07:27]  
[::ffff:127.0.0.1] [DEMO/static/css/root.css] ---------- [2015-07-29 23:07:27]  
[::ffff:127.0.0.1] [DEMO/static/js/root.js] ---------- [2015-07-29 23:07:27]  
[::ffff:127.0.0.1] [DEMO/static/js/qrcode.js] ---------- [2015-07-29 23:07:27]  
[::ffff:127.0.0.1] [DEMO/static/jquery/jquery-1.9.1.js] ---------- [2015-07-29 23:07:27]  
[::ffff:127.0.0.1] [DEMO/ip.json] ---------- [2015-07-29 23:07:27]  
[::ffff:127.0.0.1] [DEMO/static/css/iconfont.woff] ---------- [2015-07-29 23:07:27]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:07:31]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:07:31]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:07:31]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:07:31]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:07:31]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:07:31]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:07:31]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:07:31]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:07:31]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:09:23]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:09:23]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:09:23]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:09:23]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:09:23]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:09:23]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:09:23]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:09:23]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:09:23]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:09:28]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:09:28]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:09:28]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:09:28]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:09:28]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:09:28]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:09:28]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:09:28]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:09:28]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:09:58]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:09:58]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:09:58]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:09:58]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:09:58]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:09:58]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:09:58]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:09:58]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:09:58]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:10:07]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:10:07]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:10:07]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:10:07]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:10:07]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:10:07]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:10:07]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:10:07]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:10:07]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:11:48]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:11:48]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:11:48]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:11:48]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:11:48]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:11:48]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:11:48]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:11:48]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:11:48]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:12:44]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:12:44]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:12:44]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:12:44]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:12:44]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:12:44]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:12:44]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:12:44]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:12:44]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:13:14]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:13:14]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:13:14]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:13:14]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:13:14]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:13:14]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:13:14]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:13:14]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:13:14]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:13:27]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:13:28]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:13:28]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:13:28]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:13:28]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:13:28]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:13:28]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:13:28]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:13:28]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:13:49]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:13:49]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:13:49]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:13:49]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:13:49]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:13:49]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:13:49]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:13:49]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:13:49]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:14:27]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:14:27]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:14:27]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:14:27]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:14:27]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:14:27]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:14:27]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:14:27]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:14:27]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:14:31]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:14:31]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:14:31]  
[::ffff:192.168.100.102] [DEMO/uisvr/css/index.css] ---------- [2015-07-29 23:14:31]  
[::ffff:192.168.100.102] [DEMO/static/jQuery/jquery-1.9.1.js] ---------- [2015-07-29 23:14:31]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.js] ---------- [2015-07-29 23:14:31]  
[::ffff:192.168.100.102] [DEMO/uisvr/js/index.js] ---------- [2015-07-29 23:14:31]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/card.js] ---------- [2015-07-29 23:14:31]  
[::ffff:192.168.100.102] [DEMO/htdocs/card/123.jpg] ---------- [2015-07-29 23:14:31]  
-----------加载新连接------------- 
[::ffff:192.168.100.102] [DEMO/htdocs/card/index.html] ---------- [2015-07-29 23:16:20]  
[::ffff:192.168.100.102] [DEMO/static/css/common.css] ---------- [2015-07-29 23:16:20]  
[::ffff:192.168.100.102] [DEMO/static/swiper/swiper.css] ---------- [2015-07-29 23:16:20]  
